1	B3/S23	0.091	0.73	0.131866538031	4.0	0.242075787887
5	B3/S236	0.542	0.84	0.175276873247	5.0	0.208419041855
71	B3/S2367	0.656	0.868	0.189755162926	6.0	0.141232002722
117	B3/S23678	0.595	0.85	0.193065144523	7.0	0.129699759977
26	B3/S2368	0.534	0.849	0.180452801135	6.0	0.164964702184
4	B3/S237	0.156	0.818	0.132515515838	5.0	0.211304688053
18	B3/S2378	0.169	0.801	0.140096931247	6.0	0.177994583931
10	B3/S238	0.094	0.737	0.132539662486	5.0	0.193875878694
20	B36/S23	0.086	0.689	0.154359602368	5.0	0.168154492047
32	B36/S237	0.191	0.797	0.170244271608	6.0	0.154790522438
59	B36/S2378	0.219	0.774	0.17077800376	7.0	0.144691260979
64	B36/S238	0.101	0.71	0.159304250389	6.0	0.143050734595
28	B368/S23	0.12	0.707	0.152281186524	6.0	0.161874326228
192	B368/S238	0.108	0.725	0.163754836804	7.0	0.120903111719
9	B37/S23	0.119	0.763	0.141997349839	5.0	0.193931177114
52	B37/S236	0.623	0.868	0.186825503707	6.0	0.146343728074
21	B37/S237	0.204	0.829	0.150662709271	6.0	0.167837852815
19	B37/S238	0.139	0.766	0.137236974379	6.0	0.177872538965
29	B378/S23	0.134	0.742	0.156230880687	6.0	0.159002890539
55	B378/S237	0.184	0.81	0.148794874901	7.0	0.145944350517
185	B378/S2378	0.181	0.819	0.152043639416	8.0	0.12187208272
61	B378/S238	0.147	0.78	0.14526142297	7.0	0.144259190397
7	B38/S23	0.109	0.71	0.138631404021	5.0	0.20400868115
23	B38/S236	0.543	0.85	0.177370507405	6.0	0.167140019468
261	B38/S2367	0.668	0.879	0.19359492638	7.0	0.113331956011
266	B38/S23678	0.586	0.86	0.188990905259	8.0	0.113039786806
58	B38/S2368	0.572	0.844	0.177211258416	7.0	0.144731836124
57	B38/S237	0.134	0.791	0.15927651901	6.0	0.144933814996
47	B38/S2378	0.157	0.775	0.146097491104	7.0	0.148547355884
44	B38/S238	0.102	0.745	0.146668528796	6.0	0.149898847832
1282	B35/S236	0.862	0.871	0.245508848878	6.0	0.0784835625343
745	B368/S12578	0.188	0.814	0.185919276876	9.0	0.0908570606781
5878	B3678/S34678	0.095	0.275	0.31545056895	10.0	0.0415040165333
247567	B36/S245	0.0	0.046	0.264667582292	6.0	0.0
241984	B368/S245	0.0	0.057	0.276216524422	7.0	0.0
